GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Delectable,web.module.admin,AdminManager,0,46,0,0,0,15,0,9,0,9
Delectable,web.module.utility,UniqueIdGenerator,3,25,0,0,1,6,1,4,1,4
Delectable,web.module.utility,JSONPrettyPrinterInterface,42,0,0,0,8,0,4,0,4,0
Delectable,web.module.utility,DateUtility,3,115,2,22,1,26,3,19,1,9
Delectable,web.module.menu,MenuManager.InvalidItemDetailException,0,6,0,0,0,1,0,1,0,1
Delectable,web.module.menu,Category,0,16,0,0,0,8,0,4,0,4
Delectable,web.module.menu,MenuItem,0,106,0,10,0,28,0,21,0,16
Delectable,web.module.menu,MenuManager,0,78,0,8,0,22,0,11,0,7
Delectable,web.module.menu,MenuManager.InvalidItemPriceForUpdateException,0,6,0,0,0,1,0,1,0,1
Delectable,web.module.menu,NullMenuItem,0,5,0,0,0,2,0,2,0,2
Delectable,web.module.controller,AdminServiceController,165,0,6,0,22,0,9,0,6,0
Delectable,web.module.controller,OrderServiceController,170,0,6,0,25,0,8,0,5,0
Delectable,web.module.controller,CustomerServiceController,76,0,4,0,11,0,5,0,3,0
Delectable,web.module.controller,ReportServiceController,82,0,4,0,16,0,5,0,3,0
Delectable,web.module.controller,MenuServiceController,60,0,2,0,10,0,4,0,3,0
Delectable,web.module.surcharge,Surcharge,3,14,0,0,1,7,1,4,1,4
Delectable,web.module.order,OrderDetail,0,22,0,0,0,10,0,5,0,5
Delectable,web.module.order,OrderManager,0,253,1,23,0,70,1,23,0,12
Delectable,web.module.order,NullOrder,0,5,0,0,0,2,0,2,0,2
Delectable,web.module.order,OrderManager.InvalidOrderDetailException,0,6,0,0,0,1,0,1,0,1
Delectable,web.module.order,Order,0,206,0,14,0,53,0,30,0,23
Delectable,web.module.order,OrderManager.OrderCanNotBeCancelledException,0,6,0,0,0,1,0,1,0,1
Delectable,web.module.serializer,DeliveryReportSerializer,103,0,4,0,25,0,4,0,2,0
Delectable,web.module.serializer,RevenueReportSerializer,64,0,0,0,14,0,2,0,2,0
Delectable,web.module.serializer,CompactMenuItemSerializer,28,0,0,0,8,0,2,0,2,0
Delectable,web.module.serializer,ExtendedCustomerSerializer,87,0,2,0,21,0,3,0,2,0
Delectable,web.module.serializer,ExtendedMenuItemSerializer,43,0,0,0,11,0,2,0,2,0
Delectable,web.module.serializer,CompactCustomerSerializer,31,0,0,0,8,0,2,0,2,0
Delectable,web.module.serializer,SimpleReportListSerializer,18,0,0,0,6,0,2,0,2,0
Delectable,web.module.serializer,ExtendedOrderSerializer,58,0,0,0,14,0,2,0,2,0
Delectable,web.module.serializer,CompactOrderSerializer,44,0,0,0,11,0,2,0,2,0
Delectable,web.module.customer,PersonalInfo,0,24,0,0,0,10,0,5,0,5
Delectable,web.module.customer,Alias,0,15,0,0,0,6,0,3,0,3
Delectable,web.module.customer,CustomerManager.new Comparator() {...},0,12,0,0,0,2,0,2,0,2
Delectable,web.module.customer,CustomerManager,0,163,1,15,0,34,1,16,0,9
Delectable,web.module.customer,Customer,0,168,1,7,0,32,1,16,0,13
Delectable,web.module.customer,NullCustomer,0,5,0,0,0,2,0,2,0,2
Delectable,web.module.report,Report804,0,59,0,8,0,16,0,6,0,2
Delectable,web.module.report,Report803,0,53,0,8,0,15,0,6,0,2
Delectable,web.module.report,ReportManager,0,108,0,10,0,22,0,10,0,5
Delectable,web.module.report,Report801_802,0,39,0,2,0,10,0,3,0,2
Delectable,web.module.report,NullReport,0,5,0,0,0,2,0,2,0,2
Delectable,web.module.report,Report,0,42,0,2,0,16,0,11,0,10
Delectable,web.module.report,Revenue,0,45,0,0,0,19,0,13,0,13
Delectable,web.module.report,OrderDeliveryReport,0,17,0,0,0,6,0,3,0,3
Delectable,web.module.report,Report804.new Comparator() {...},5,14,0,0,3,2,0,2,0,2
Delectable,web.module.report,RevenueReport,0,12,0,0,0,5,0,3,0,3
